aX,aY,aZ,gX,gY,gZ
0.491,-0.803,-0.461,7.751,-2.380,10.010
0.499,-0.806,-0.464,8.545,-1.587,9.033
0.499,-0.803,-0.461,8.118,-0.732,7.690
0.502,-0.799,-0.451,6.836,0.549,6.348
0.502,-0.794,-0.436,5.310,1.587,5.188
0.506,-0.797,-0.428,4.578,2.686,3.784
0.501,-0.797,-0.429,3.967,3.418,1.770
0.492,-0.799,-0.438,3.174,4.028,-0.610
0.479,-0.803,-0.452,2.319,4.883,-2.686
0.467,-0.807,-0.460,1.343,5.249,-3.540
0.456,-0.811,-0.461,0.854,5.127,-3.784
0.449,-0.811,-0.460,0.732,3.723,-3.479
0.441,-0.805,-0.451,1.465,1.221,-2.380
0.449,-0.810,-0.440,3.479,-1.709,-1.465
0.454,-0.807,-0.438,5.493,-4.883,-1.099
0.456,-0.807,-0.435,6.653,-7.751,-0.366
0.462,-0.802,-0.431,7.507,-9.644,0.671
0.469,-0.797,-0.434,8.423,-10.559,1.221
0.472,-0.791,-0.434,8.667,-10.864,1.038
0.469,-0.785,-0.437,8.911,-10.498,0.549
0.466,-0.781,-0.449,9.338,-9.766,-0.122
0.460,-0.784,-0.455,9.521,-9.338,-1.343
0.456,-0.789,-0.460,9.888,-9.155,-2.136
0.455,-0.796,-0.465,10.620,-9.338,-1.953
0.452,-0.796,-0.471,11.475,-10.010,-1.648
0.457,-0.797,-0.481,12.329,-10.498,-1.587
0.459,-0.796,-0.492,12.817,-10.620,-1.648
0.463,-0.797,-0.501,13.000,-10.071,-1.892
0.464,-0.800,-0.511,12.817,-9.583,-2.075
0.463,-0.802,-0.517,12.512,-9.338,-2.441
0.452,-0.802,-0.512,12.146,-9.277,-3.174
0.446,-0.802,-0.506,12.512,-9.888,-3.479
0.447,-0.804,-0.506,13.062,-10.681,-3.113
0.448,-0.804,-0.503,13.245,-11.292,-2.686
0.445,-0.800,-0.501,13.184,-11.536,-2.991
0.448,-0.800,-0.508,13.123,-10.925,-3.113
0.444,-0.797,-0.518,12.085,-9.583,-3.662
0.443,-0.798,-0.526,10.681,-7.568,-4.456
0.435,-0.801,-0.530,8.484,-5.127,-5.371
0.426,-0.806,-0.524,6.470,-3.418,-6.104
0.424,-0.810,-0.522,5.737,-2.869,-6.104
0.425,-0.810,-0.521,5.310,-3.540,-5.615
0.427,-0.803,-0.512,4.700,-4.883,-5.249
0.427,-0.794,-0.499,4.517,-6.165,-5.066
0.427,-0.789,-0.487,4.761,-7.446,-5.066
0.424,-0.786,-0.485,5.188,-8.240,-5.188
0.417,-0.783,-0.485,5.493,-8.545,-5.737
0.416,-0.784,-0.488,5.798,-8.118,-5.554
0.412,-0.785,-0.489,5.981,-7.568,-5.310
0.412,-0.789,-0.496,6.470,-6.714,-5.188
0.414,-0.793,-0.504,6.531,-6.348,-5.188
0.411,-0.797,-0.506,5.615,-6.531,-5.676
0.405,-0.797,-0.505,4.272,-7.080,-5.859
0.404,-0.797,-0.499,3.235,-7.690,-5.554
0.403,-0.796,-0.496,2.502,-8.179,-4.944
0.403,-0.799,-0.495,2.625,-7.996,-4.395
0.405,-0.799,-0.496,2.563,-7.507,-4.028
0.411,-0.800,-0.497,2.258,-6.897,-3.296
0.418,-0.799,-0.495,1.770,-6.348,-2.563
0.420,-0.798,-0.490,1.526,-6.470,-2.319
0.421,-0.794,-0.486,1.648,-6.836,-2.197
0.424,-0.794,-0.482,1.770,-7.324,-2.075
0.427,-0.796,-0.479,2.075,-7.568,-2.136
0.427,-0.796,-0.478,2.380,-7.812,-1.892
0.426,-0.795,-0.478,2.441,-7.935,-1.343
0.427,-0.797,-0.485,2.747,-7.812,-0.732
0.423,-0.798,-0.493,2.625,-7.263,-0.671
0.418,-0.803,-0.498,2.075,-6.409,-0.732
0.416,-0.805,-0.500,1.648,-5.432,-0.732
0.420,-0.803,-0.503,0.793,-4.395,-0.244
0.423,-0.800,-0.500,-0.366,-3.418,0.366
0.434,-0.800,-0.494,-1.160,-2.869,1.160
0.442,-0.794,-0.489,-1.587,-2.869,1.892
0.450,-0.794,-0.487,-1.709,-3.418,2.319
0.456,-0.791,-0.484,-1.648,-3.845,2.197
0.457,-0.792,-0.479,-1.648,-4.211,1.770

0.154,-1.659,-0.792,-17.273,9.949,109.741
0.119,-1.689,-0.802,-21.790,23.315,122.498
0.097,-1.727,-0.789,-23.804,35.767,133.484
0.066,-1.762,-0.758,-23.682,43.091,144.958
0.021,-1.821,-0.732,-21.545,44.617,159.729
-0.018,-1.857,-0.717,-17.456,40.039,175.171
-0.078,-1.907,-0.693,-10.559,33.325,194.885
-0.144,-1.951,-0.689,-0.488,23.560,214.355
-0.239,-2.036,-0.709,13.000,11.658,231.689
-0.305,-2.131,-0.731,28.137,-2.136,247.803
-0.361,-2.194,-0.764,41.992,-15.991,264.893
-0.439,-2.231,-0.825,53.162,-28.564,285.278
-0.504,-2.227,-0.901,61.157,-38.025,309.998
-0.508,-2.189,-0.993,63.843,-48.035,338.562
-0.506,-2.120,-1.080,58.960,-59.631,365.112
-0.508,-1.981,-1.201,43.640,-72.876,385.315
-0.528,-1.806,-1.294,12.024,-90.576,396.851
-0.720,-1.490,-1.288,-34.729,-117.371,400.085
-1.075,-0.914,-1.260,-93.872,-146.912,405.029
-1.458,-0.140,-1.160,-160.278,-171.875,417.725
-1.878,0.786,-1.015,-227.234,-182.312,429.932
-2.473,1.901,-0.828,-283.081,-175.232,430.481
-3.078,3.054,-0.691,-324.158,-148.132,420.898
-3.437,3.999,-0.503,-352.478,-103.088,412.048
-3.318,4.000,-0.381,-363.037,-54.138,416.504
-2.292,4.000,-0.347,-346.924,-15.503,446.228
0.161,4.000,-0.251,-297.546,-4.211,481.018
4.000,4.000,-0.193,-276.550,-21.179,533.325
4.000,4.000,1.505,-209.229,-92.285,538.025
4.000,4.000,2.109,84.778,-283.386,189.026
0.995,2.556,1.262,341.125,-443.542,-222.595
-1.186,0.818,-0.190,468.262,-358.032,-337.463
-1.934,-0.401,-1.163,397.339,-160.217,-245.728
-1.157,-1.144,-1.805,229.187,45.349,-119.019
-0.400,-1.160,-1.960,24.170,183.167,-39.124
0.104,-0.654,-1.693,-157.532,242.920,-32.410
0.396,-0.097,-1.331,-272.156,269.897,-55.359
0.570,0.261,-0.996,-322.083,277.710,-73.547
0.598,0.492,-0.685,-317.200,256.714,-78.247
0.588,0.693,-0.403,-265.808,204.041,-70.190
0.658,0.823,-0.155,-182.861,124.512,-44.983
0.828,0.922,-0.031,-78.796,27.954,-11.414
0.992,1.036,-0.106,30.579,-68.970,20.142
1.106,1.208,-0.348,124.023,-144.714,47.302
1.237,1.354,-0.588,177.490,-182.312,68.176
1.380,1.447,-0.715,181.824,-179.871,65.918
1.339,1.489,-0.717,147.766,-145.935,30.273
1.177,1.538,-0.664,99.976,-88.074,-37.476
0.930,1.564,-0.581,51.880,-22.827,-110.779
0.714,1.560,-0.491,16.785,28.992,-166.626
0.537,1.578,-0.402,-0.549,53.345,-200.623
0.432,1.487,-0.283,1.160,48.218,-214.050
0.419,1.289,-0.177,19.470,23.254,-209.351
0.459,1.029,-0.157,49.744,-6.165,-195.984
0.515,0.723,-0.206,83.374,-27.893,-186.157
0.539,0.422,-0.309,107.788,-33.569,-180.237
0.539,0.209,-0.465,116.028,-24.719,-178.101
0.507,0.132,-0.633,106.628,-7.507,-183.044
0.498,0.144,-0.746,81.909,14.160,-191.895
0.497,0.164,-0.793,49.377,35.339,-199.890
0.458,0.140,-0.786,19.348,49.133,-205.811
0.453,0.047,-0.710,-3.906,50.781,-202.942
0.503,-0.056,-0.562,-18.616,39.185,-190.674
0.595,-0.178,-0.408,-20.691,19.836,-174.866
0.710,-0.322,-0.286,-10.559,-1.892,-161.255
0.784,-0.445,-0.233,6.775,-20.996,-150.024
0.799,-0.596,-0.225,24.719,-34.302,-140.930
0.805,-0.758,-0.260,36.255,-39.124,-130.615
0.781,-0.883,-0.308,37.598,-36.377,-119.202
0.756,-0.956,-0.338,32.227,-30.823,-109.192
0.761,-1.016,-0.348,24.536,-26.733,-99.548
0.788,-1.084,-0.333,18.066,-26.611,-89.111
0.849,-1.144,-0.298,13.000,-29.968,-78.186
0.906,-1.165,-0.246,8.484,-37.415,-68.909
0.933,-1.176,-0.176,6.470,-45.776,-62.988
0.922,-1.180,-0.127,6.775,-48.462,-59.082
0.903,-1.174,-0.107,6.653,-45.776,-54.749
0.874,-1.164,-0.093,5.005,-41.992,-49.377
0.835,-1.134,-0.082,2.625,-38.635,-42.175
0.811,-1.095,-0.078,-0.061,-33.752,-33.386
0.795,-1.042,-0.066,-3.540,-28.015,-23.437
0.803,-0.960,-0.055,-6.714,-23.743,-14.404
0.800,-0.852,-0.048,-7.690,-22.522,-7.629
0.802,-0.767,-0.039,-5.859,-22.888,-2.380
0.823,-0.684,-0.040,-3.174,-23.804,3.113
0.848,-0.597,-0.043,-0.305,-24.170,6.409
0.855,-0.527,-0.050,2.014,-22.827,7.690
0.871,-0.475,-0.065,3.113,-18.982,8.972
0.887,-0.428,-0.081,3.296,-13.489,9.644
0.903,-0.385,-0.103,2.808,-7.812,9.338
0.917,-0.346,-0.122,1.465,-3.662,8.118
0.925,-0.308,-0.138,-0.671,-1.648,5.920
0.928,-0.278,-0.144,-2.930,-0.549,4.822
0.944,-0.265,-0.144,-4.822,-0.122,4.883
0.958,-0.261,-0.144,-5.493,-0.122,5.188
0.964,-0.264,-0.146,-5.005,-0.305,4.639
0.964,-0.274,-0.152,-3.540,-0.793,3.723
0.958,-0.292,-0.162,-1.343,-2.319,3.113
0.949,-0.317,-0.166,0.488,-4.700,2.930
0.943,-0.342,-0.171,1.343,-6.653,2.441
0.934,-0.362,-0.175,1.343,-7.446,1.953
0.932,-0.375,-0.178,0.366,-7.812,1.892
0.927,-0.383,-0.166,-1.282,-8.606,1.709
0.923,-0.393,-0.147,-2.441,-9.521,1.465
0.912,-0.405,-0.133,-3.479,-9.460,1.526
0.896,-0.417,-0.126,-3.784,-8.911,1.465
0.883,-0.429,-0.125,-4.333,-8.118,1.892
0.878,-0.433,-0.123,-5.005,-6.775,2.991
0.880,-0.435,-0.120,-5.615,-5.249,4.211
0.889,-0.427,-0.116,-6.470,-3.662,5.005
0.898,-0.412,-0.108,-6.958,-2.563,5.432
0.907,-0.403,-0.102,-6.104,-1.892,5.859
0.914,-0.395,-0.099,-4.578,-1.953,6.348
0.914,-0.390,-0.097,-2.991,-2.136,6.958
0.913,-0.381,-0.103,-1.465,-1.953,7.812
0.918,-0.371,-0.119,-0.549,-0.793,8.911
0.924,-0.363,-0.139,-0.305,0.732,9.338
0.933,-0.353,-0.152,-1.038,1.831,9.460
0.936,-0.344,-0.159,-2.197,2.319,8.972

0.709,-1.392,-0.491,-69.092,44.312,86.182
0.702,-1.418,-0.506,-75.073,44.556,91.309
0.708,-1.443,-0.520,-80.261,46.509,97.290
0.705,-1.463,-0.575,-85.327,51.025,102.356
0.712,-1.491,-0.626,-92.651,54.810,106.873
0.720,-1.525,-0.683,-102.356,57.434,112.122
0.724,-1.565,-0.708,-114.075,56.580,116.577
0.690,-1.618,-0.728,-125.061,53.406,120.300
0.597,-1.692,-0.770,-132.996,52.673,124.939
0.452,-1.751,-0.826,-139.771,56.458,132.507
0.294,-1.760,-0.876,-146.606,63.232,146.973
0.177,-1.712,-0.866,-152.893,69.519,172.058
0.114,-1.616,-0.823,-155.090,70.679,204.712
0.076,-1.473,-0.768,-151.917,68.359,238.159
-0.034,-1.294,-0.719,-145.386,68.359,269.043
-0.026,-1.134,-0.757,-141.724,70.374,300.537
-0.011,-0.958,-0.745,-142.578,56.335,329.956
0.016,-0.758,-0.765,-141.846,21.729,351.196
-0.078,-0.635,-0.868,-143.127,-17.212,354.431
-0.408,-0.395,-1.056,-151.245,-31.311,336.792
-0.768,-0.036,-1.205,-185.974,-26.550,316.467
-1.169,0.481,-1.241,-243.347,-13.611,302.368
-1.564,1.190,-1.202,-298.340,6.592,291.077
-1.983,1.979,-1.174,-340.332,35.400,278.992
-2.346,2.798,-1.137,-359.070,73.608,269.775
-2.464,3.587,-1.148,-348.877,124.634,269.775
-2.122,4.000,-1.186,-307.861,183.228,289.612
-1.195,4.000,-1.213,-253.418,226.868,338.318
0.754,4.000,-1.048,-191.406,226.013,414.978
3.955,4.000,-0.284,-156.677,139.832,524.536
4.000,4.000,1.724,-17.212,-68.787,482.239
4.000,2.368,1.930,176.758,-281.982,104.614
0.758,1.548,0.602,275.574,-342.896,-243.225
-1.679,0.310,-0.809,288.818,-262.817,-330.750
-2.220,-0.584,-1.632,217.590,-72.388,-234.558
-1.125,-1.167,-1.795,75.378,126.831,-58.594
-0.101,-0.904,-1.713,-72.998,222.900,52.063
0.466,-0.182,-1.464,-174.438,232.178,58.716
0.685,0.585,-1.220,-218.994,196.350,39.185
0.898,1.092,-0.846,-221.130,141.357,39.307
1.063,1.229,-0.509,-175.049,75.562,42.114
1.105,1.177,-0.281,-97.168,7.019,31.006
0.964,1.032,-0.251,-19.043,-48.584,14.832
0.800,0.880,-0.285,38.879,-80.078,0.366
0.734,0.677,-0.429,71.228,-76.538,-9.583
0.668,0.560,-0.580,74.585,-49.988,-19.287
0.664,0.529,-0.695,55.786,-13.123,-23.254
0.679,0.547,-0.756,28.381,18.372,-23.926
0.765,0.557,-0.751,2.197,38.330,-24.719
0.816,0.572,-0.696,-17.944,41.809,-30.090
0.807,0.611,-0.633,-28.503,36.865,-39.917
0.776,0.689,-0.587,-30.334,33.142,-49.316
0.754,0.778,-0.544,-26.367,31.799,-54.382
0.802,0.863,-0.492,-16.541,30.457,-53.955
0.850,0.973,-0.452,-1.526,26.367,-51.208
0.878,1.055,-0.418,19.409,18.616,-50.232
0.890,1.121,-0.416,41.260,10.864,-52.307
0.902,1.197,-0.440,59.143,4.639,-59.814
0.906,1.247,-0.510,70.679,0.122,-74.951
0.857,1.258,-0.610,77.454,-1.038,-95.703
0.794,1.236,-0.666,80.444,-0.977,-117.798
0.715,1.214,-0.679,79.407,-2.625,-136.719
0.664,1.133,-0.638,75.989,-4.456,-151.672
0.630,1.033,-0.578,73.547,-4.395,-161.865
0.557,0.956,-0.541,71.716,-1.648,-169.250
0.486,0.876,-0.525,69.458,4.822,-175.598
0.444,0.781,-0.516,64.941,13.977,-180.298
0.406,0.765,-0.530,57.617,23.743,-183.350
0.419,0.767,-0.538,47.180,30.762,-187.927
