aX,aY,aZ,gX,gY,gZ
0.110,-0.464,-0.593,-131.897,-56.946,-52.368
0.109,-0.499,-0.609,-124.451,-55.237,-45.593
0.142,-0.558,-0.629,-120.911,-53.589,-37.170
0.177,-0.603,-0.623,-122.742,-52.063,-29.541
0.205,-0.632,-0.605,-128.418,-49.866,-23.926
0.242,-0.650,-0.569,-135.437,-46.204,-20.569
0.276,-0.682,-0.520,-141.296,-42.175,-19.592
0.290,-0.693,-0.483,-145.142,-41.260,-21.606
0.266,-0.677,-0.442,-145.996,-42.908,-25.269
0.231,-0.672,-0.412,-142.456,-45.166,-28.809
0.178,-0.643,-0.392,-136.780,-46.997,-29.236
0.140,-0.640,-0.390,-128.967,-47.119,-26.611
0.120,-0.625,-0.425,-121.338,-46.143,-19.592
0.130,-0.622,-0.481,-117.432,-44.800,-9.338
0.197,-0.679,-0.500,-118.958,-43.152,-0.916
0.256,-0.710,-0.464,-128.418,-42.236,2.747
0.277,-0.726,-0.371,-140.747,-41.260,0.427
0.285,-0.750,-0.279,-148.804,-41.687,-3.784
0.283,-0.757,-0.204,-151.123,-44.556,-8.606
0.261,-0.754,-0.149,-149.109,-47.729,-14.526
0.227,-0.745,-0.135,-143.494,-49.133,-18.188
0.186,-0.724,-0.148,-137.634,-48.523,-17.639
0.149,-0.713,-0.173,-133.362,-46.448,-12.207
0.145,-0.700,-0.222,-131.287,-43.396,-4.028
0.166,-0.693,-0.253,-134.155,-39.795,3.906
0.187,-0.685,-0.229,-141.602,-37.720,8.667
0.246,-0.736,-0.142,-150.391,-38.635,9.583
0.273,-0.779,0.024,-159.180,-43.518,5.798
0.255,-0.797,0.194,-163.940,-50.537,0.732
0.229,-0.801,0.301,-160.034,-53.406,-2.441
0.206,-0.818,0.327,-149.780,-50.232,-2.197
0.198,-0.828,0.284,-138.672,-44.495,3.052
0.205,-0.826,0.218,-131.531,-39.856,11.169
0.222,-0.814,0.153,-129.822,-37.170,18.799
0.256,-0.797,0.117,-133.179,-34.790,22.827
0.294,-0.797,0.138,-139.587,-33.447,21.667
0.322,-0.815,0.212,-145.752,-35.706,16.479
0.343,-0.844,0.312,-148.926,-41.870,9.705
0.339,-0.857,0.403,-148.743,-48.706,1.892
0.336,-0.887,0.466,-144.897,-52.551,-4.211
0.328,-0.905,0.490,-139.587,-52.979,-7.202
0.311,-0.906,0.485,-134.705,-50.964,-7.446
0.318,-0.913,0.451,-130.005,-46.570,-5.798
0.315,-0.911,0.419,-128.113,-41.931,-4.211
